interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,region,planned_outages_mw,maintenance_outages_mw,forced_outages_mw,total_outages_mw
2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-10-27T00:00:00-04:00,2025-10-27 04:00:00+00:00,PJM RTO,53423,3292,3452,60167
2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-10-27T00:00:00-04:00,2025-10-27 04:00:00+00:00,Western,23659,493,2388,26540
2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-10-28T00:00:00-04:00,2025-10-28 04:00:00+00:00,Mid Atlantic - Dominion,29764,3150,1120,34034
2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-10-28T00:00:00-04:00,2025-10-28 04:00:00+00:00,PJM RTO,53400,3803,3851,61054
2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-10-28T00:00:00-04:00,2025-10-28 04:00:00+00:00,Western,23636,653,2731,27020
2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-10-29T00:00:00-04:00,2025-10-29 04:00:00+00:00,Mid Atlantic - Dominion,29197,3158,1128,33483
2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-10-29T00:00:00-04:00,2025-10-29 04:00:00+00:00,PJM RTO,52712,3817,3954,60483
2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-10-29T00:00:00-04:00,2025-10-29 04:00:00+00:00,Western,23515,659,2826,27000
2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-10-30T00:00:00-04:00,2025-10-30 04:00:00+00:00,Mid Atlantic - Dominion,29411,2642,1193,33246
2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-10-30T00:00:00-04:00,2025-10-30 04:00:00+00:00,PJM RTO,52586,4009,5536,62131
2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-10-30T00:00:00-04:00,2025-10-30 04:00:00+00:00,Western,23175,1367,4343,28885
2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-10-31T00:00:00-04:00,2025-10-31 04:00:00+00:00,Mid Atlantic - Dominion,30783,2281,2510,35574
2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-10-31T00:00:00-04:00,2025-10-31 04:00:00+00:00,PJM RTO,53958,3858,7621,65437
2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-10-31T00:00:00-04:00,2025-10-31 04:00:00+00:00,Western,23175,1577,5111,29863
2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-01T00:00:00-04:00,2025-11-01 04:00:00+00:00,Mid Atlantic - Dominion,30545,2964,4537,38046
2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-01T00:00:00-04:00,2025-11-01 04:00:00+00:00,PJM RTO,54660,4324,10150,69134
2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-01T00:00:00-04:00,2025-11-01 04:00:00+00:00,Western,24115,1360,5613,31088
2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,Mid Atlantic - Dominion,30026,1971,4798,36795
2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,PJM RTO,54015,3097,10985,68097
2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,Western,23989,1126,6187,31302
2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-10-28T00:00:00-04:00,2025-10-28 04:00:00+00:00,Mid Atlantic - Dominion,28568,2542,1120,32230
2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-10-28T00:00:00-04:00,2025-10-28 04:00:00+00:00,PJM RTO,50782,4022,3851,58655
2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-10-28T00:00:00-04:00,2025-10-28 04:00:00+00:00,Western,22214,1480,2731,26425
2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-10-29T00:00:00-04:00,2025-10-29 04:00:00+00:00,Mid Atlantic - Dominion,28568,2623,1128,32319
2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-10-29T00:00:00-04:00,2025-10-29 04:00:00+00:00,PJM RTO,50661,4315,3954,58930
2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-10-29T00:00:00-04:00,2025-10-29 04:00:00+00:00,Western,22093,1692,2826,26611
2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-10-30T00:00:00-04:00,2025-10-30 04:00:00+00:00,Mid Atlantic - Dominion,28782,3254,1193,33229
2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-10-30T00:00:00-04:00,2025-10-30 04:00:00+00:00,PJM RTO,50535,5604,5460,61599
2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-10-30T00:00:00-04:00,2025-10-30 04:00:00+00:00,Western,21753,2350,4267,28370
2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-10-31T00:00:00-04:00,2025-10-31 04:00:00+00:00,Mid Atlantic - Dominion,30183,3374,2510,36067
2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-10-31T00:00:00-04:00,2025-10-31 04:00:00+00:00,PJM RTO,51936,6223,7075,65234
2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-10-31T00:00:00-04:00,2025-10-31 04:00:00+00:00,Western,21753,2849,4565,29167
2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-01T00:00:00-04:00,2025-11-01 04:00:00+00:00,Mid Atlantic - Dominion,29548,3372,4105,37025
2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-01T00:00:00-04:00,2025-11-01 04:00:00+00:00,PJM RTO,52038,6129,9172,67339
2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-01T00:00:00-04:00,2025-11-01 04:00:00+00:00,Western,22490,2757,5067,30314
2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,Mid Atlantic - Dominion,29426,3376,4205,37007
2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,PJM RTO,51688,5874,9752,67314
2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,Western,22262,2498,5547,30307
2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,Mid Atlantic - Dominion,28141,3038,6513,37692
2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,PJM RTO,50751,5385,13464,69600
2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,Western,22610,2347,6951,31908
2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-05T00:00:00-05:00,2025-11-05 05:00:00+00:00,2025-10-29T00:00:00-04:00,2025-10-29 04:00:00+00:00,Mid Atlantic - Dominion,28282,3029,1113,32424
2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-05T00:00:00-05:00,2025-11-05 05:00:00+00:00,2025-10-29T00:00:00-04:00,2025-10-29 04:00:00+00:00,PJM RTO,48345,4514,3900,56759
2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-05T00:00:00-05:00,2025-11-05 05:00:00+00:00,2025-10-29T00:00:00-04:00,2025-10-29 04:00:00+00:00,Western,20063,1485,2787,24335
2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-05T00:00:00-05:00,2025-11-05 05:00:00+00:00,2025-10-30T00:00:00-04:00,2025-10-30 04:00:00+00:00,Mid Atlantic - Dominion,28496,3301,1149,32946
2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-05T00:00:00-05:00,2025-11-05 05:00:00+00:00,2025-10-30T00:00:00-04:00,2025-10-30 04:00:00+00:00,PJM RTO,48639,5413,5256,59308
2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-05T00:00:00-05:00,2025-11-05 05:00:00+00:00,2025-10-30T00:00:00-04:00,2025-10-30 04:00:00+00:00,Western,20143,2112,4107,26362
