interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,region,planned_outages_mw,maintenance_outages_mw,forced_outages_mw,total_outages_mw
2022-01-02 00:00:00-05:00,2022-01-02 05:00:00+00:00,2022-01-03 00:00:00-05:00,2022-01-03 05:00:00+00:00,2022-01-02 00:00:00-05:00,2022-01-02 05:00:00+00:00,PJM RTO,1006,3402,6675,11083
2022-01-02 00:00:00-05:00,2022-01-02 05:00:00+00:00,2022-01-03 00:00:00-05:00,2022-01-03 05:00:00+00:00,2022-01-02 00:00:00-05:00,2022-01-02 05:00:00+00:00,Western,623,2996,3617,7236
2022-01-03 00:00:00-05:00,2022-01-03 05:00:00+00:00,2022-01-04 00:00:00-05:00,2022-01-04 05:00:00+00:00,2022-01-03 00:00:00-05:00,2022-01-03 05:00:00+00:00,Mid Atlantic - Dominion,383,-387,2349,2345
2022-01-03 00:00:00-05:00,2022-01-03 05:00:00+00:00,2022-01-04 00:00:00-05:00,2022-01-04 05:00:00+00:00,2022-01-03 00:00:00-05:00,2022-01-03 05:00:00+00:00,PJM RTO,1006,3113,7401,11520
2022-01-03 00:00:00-05:00,2022-01-03 05:00:00+00:00,2022-01-04 00:00:00-05:00,2022-01-04 05:00:00+00:00,2022-01-03 00:00:00-05:00,2022-01-03 05:00:00+00:00,Western,623,3500,5052,9175
2022-01-04 00:00:00-05:00,2022-01-04 05:00:00+00:00,2022-01-05 00:00:00-05:00,2022-01-05 05:00:00+00:00,2022-01-04 00:00:00-05:00,2022-01-04 05:00:00+00:00,Mid Atlantic - Dominion,383,746,3798,4927
2022-01-04 00:00:00-05:00,2022-01-04 05:00:00+00:00,2022-01-05 00:00:00-05:00,2022-01-05 05:00:00+00:00,2022-01-04 00:00:00-05:00,2022-01-04 05:00:00+00:00,PJM RTO,1006,2798,11582,15386
2022-01-04 00:00:00-05:00,2022-01-04 05:00:00+00:00,2022-01-05 00:00:00-05:00,2022-01-05 05:00:00+00:00,2022-01-04 00:00:00-05:00,2022-01-04 05:00:00+00:00,Western,623,2052,7784,10459
2022-01-05 00:00:00-05:00,2022-01-05 05:00:00+00:00,2022-01-06 00:00:00-05:00,2022-01-06 05:00:00+00:00,2022-01-05 00:00:00-05:00,2022-01-05 05:00:00+00:00,Mid Atlantic - Dominion,273,2365,5114,7752
2022-01-05 00:00:00-05:00,2022-01-05 05:00:00+00:00,2022-01-06 00:00:00-05:00,2022-01-06 05:00:00+00:00,2022-01-05 00:00:00-05:00,2022-01-05 05:00:00+00:00,PJM RTO,896,5422,10180,16498
2022-01-05 00:00:00-05:00,2022-01-05 05:00:00+00:00,2022-01-06 00:00:00-05:00,2022-01-06 05:00:00+00:00,2022-01-05 00:00:00-05:00,2022-01-05 05:00:00+00:00,Western,623,3057,5066,8746
2022-01-06 00:00:00-05:00,2022-01-06 05:00:00+00:00,2022-01-07 00:00:00-05:00,2022-01-07 05:00:00+00:00,2022-01-06 00:00:00-05:00,2022-01-06 05:00:00+00:00,Mid Atlantic - Dominion,273,2211,4403,6887
2022-01-06 00:00:00-05:00,2022-01-06 05:00:00+00:00,2022-01-07 00:00:00-05:00,2022-01-07 05:00:00+00:00,2022-01-06 00:00:00-05:00,2022-01-06 05:00:00+00:00,PJM RTO,896,5136,11579,17611
2022-01-06 00:00:00-05:00,2022-01-06 05:00:00+00:00,2022-01-07 00:00:00-05:00,2022-01-07 05:00:00+00:00,2022-01-06 00:00:00-05:00,2022-01-06 05:00:00+00:00,Western,623,2925,7176,10724
2022-01-07 00:00:00-05:00,2022-01-07 05:00:00+00:00,2022-01-08 00:00:00-05:00,2022-01-08 05:00:00+00:00,2022-01-07 00:00:00-05:00,2022-01-07 05:00:00+00:00,Mid Atlantic - Dominion,273,1905,3538,5716
2022-01-07 00:00:00-05:00,2022-01-07 05:00:00+00:00,2022-01-08 00:00:00-05:00,2022-01-08 05:00:00+00:00,2022-01-07 00:00:00-05:00,2022-01-07 05:00:00+00:00,PJM RTO,896,4474,10753,16123
2022-01-07 00:00:00-05:00,2022-01-07 05:00:00+00:00,2022-01-08 00:00:00-05:00,2022-01-08 05:00:00+00:00,2022-01-07 00:00:00-05:00,2022-01-07 05:00:00+00:00,Western,623,2569,7215,10407
2022-01-08 00:00:00-05:00,2022-01-08 05:00:00+00:00,2022-01-09 00:00:00-05:00,2022-01-09 05:00:00+00:00,2022-01-08 00:00:00-05:00,2022-01-08 05:00:00+00:00,Mid Atlantic - Dominion,1093,2282,2690,6065
2022-01-08 00:00:00-05:00,2022-01-08 05:00:00+00:00,2022-01-09 00:00:00-05:00,2022-01-09 05:00:00+00:00,2022-01-08 00:00:00-05:00,2022-01-08 05:00:00+00:00,PJM RTO,1666,8469,8702,18837
2022-01-08 00:00:00-05:00,2022-01-08 05:00:00+00:00,2022-01-09 00:00:00-05:00,2022-01-09 05:00:00+00:00,2022-01-08 00:00:00-05:00,2022-01-08 05:00:00+00:00,Western,573,6187,6012,12772
2022-01-09 00:00:00-05:00,2022-01-09 05:00:00+00:00,2022-01-10 00:00:00-05:00,2022-01-10 05:00:00+00:00,2022-01-09 00:00:00-05:00,2022-01-09 05:00:00+00:00,Mid Atlantic - Dominion,1093,1893,4358,7344
2022-01-09 00:00:00-05:00,2022-01-09 05:00:00+00:00,2022-01-10 00:00:00-05:00,2022-01-10 05:00:00+00:00,2022-01-09 00:00:00-05:00,2022-01-09 05:00:00+00:00,PJM RTO,1666,6056,11393,19115
2022-01-09 00:00:00-05:00,2022-01-09 05:00:00+00:00,2022-01-10 00:00:00-05:00,2022-01-10 05:00:00+00:00,2022-01-09 00:00:00-05:00,2022-01-09 05:00:00+00:00,Western,573,4163,7035,11771
