interval_start_utc,interval_end_utc,publish_time_utc,region,planned_outages_mw,maintenance_outages_mw,forced_outages_mw,total_outages_mw
2025-10-29 04:00:00+00:00,2025-10-30 04:00:00+00:00,2025-10-29 04:00:00+00:00,PJM RTO,49485,6364,10113,65962
2025-10-29 04:00:00+00:00,2025-10-30 04:00:00+00:00,2025-10-29 04:00:00+00:00,Western,23164,3012,5910,32086
2025-10-30 04:00:00+00:00,2025-10-31 04:00:00+00:00,2025-10-24 04:00:00+00:00,Mid Atlantic - Dominion,25463,3179,1778,30420
2025-10-30 04:00:00+00:00,2025-10-31 04:00:00+00:00,2025-10-24 04:00:00+00:00,PJM RTO,47583,4277,6747,58607
2025-10-30 04:00:00+00:00,2025-10-31 04:00:00+00:00,2025-10-24 04:00:00+00:00,Western,22120,1098,4969,28187
2025-10-30 04:00:00+00:00,2025-10-31 04:00:00+00:00,2025-10-25 04:00:00+00:00,Mid Atlantic - Dominion,25495,4177,2213,31885
2025-10-30 04:00:00+00:00,2025-10-31 04:00:00+00:00,2025-10-25 04:00:00+00:00,PJM RTO,47807,5336,7424,60567
2025-10-30 04:00:00+00:00,2025-10-31 04:00:00+00:00,2025-10-25 04:00:00+00:00,Western,22312,1159,5211,28682
2025-10-30 04:00:00+00:00,2025-10-31 04:00:00+00:00,2025-10-26 04:00:00+00:00,Mid Atlantic - Dominion,25648,4177,2062,31887
2025-10-30 04:00:00+00:00,2025-10-31 04:00:00+00:00,2025-10-26 04:00:00+00:00,PJM RTO,48092,6559,7237,61888
2025-10-30 04:00:00+00:00,2025-10-31 04:00:00+00:00,2025-10-26 04:00:00+00:00,Western,22444,2382,5175,30001
2025-10-30 04:00:00+00:00,2025-10-31 04:00:00+00:00,2025-10-27 04:00:00+00:00,Mid Atlantic - Dominion,27262,4528,2400,34190
2025-10-30 04:00:00+00:00,2025-10-31 04:00:00+00:00,2025-10-27 04:00:00+00:00,PJM RTO,49108,6921,7783,63812
2025-10-30 04:00:00+00:00,2025-10-31 04:00:00+00:00,2025-10-27 04:00:00+00:00,Western,21846,2393,5383,29622
2025-10-30 04:00:00+00:00,2025-10-31 04:00:00+00:00,2025-10-28 04:00:00+00:00,Mid Atlantic - Dominion,27094,4207,2385,33686
2025-10-30 04:00:00+00:00,2025-10-31 04:00:00+00:00,2025-10-28 04:00:00+00:00,PJM RTO,48917,6616,8085,63618
2025-10-30 04:00:00+00:00,2025-10-31 04:00:00+00:00,2025-10-28 04:00:00+00:00,Western,21823,2409,5700,29932
2025-10-30 04:00:00+00:00,2025-10-31 04:00:00+00:00,2025-10-29 04:00:00+00:00,Mid Atlantic - Dominion,26527,3163,2448,32138
2025-10-30 04:00:00+00:00,2025-10-31 04:00:00+00:00,2025-10-29 04:00:00+00:00,PJM RTO,49001,6298,8026,63325
2025-10-30 04:00:00+00:00,2025-10-31 04:00:00+00:00,2025-10-29 04:00:00+00:00,Western,22474,3135,5578,31187
2025-10-30 04:00:00+00:00,2025-10-31 04:00:00+00:00,2025-10-30 04:00:00+00:00,Mid Atlantic - Dominion,26525,3524,4086,34135
2025-10-30 04:00:00+00:00,2025-10-31 04:00:00+00:00,2025-10-30 04:00:00+00:00,PJM RTO,48705,6526,10077,65308
2025-10-30 04:00:00+00:00,2025-10-31 04:00:00+00:00,2025-10-30 04:00:00+00:00,Western,22180,3002,5991,31173
