interval_start_utc,interval_end_utc,publish_time_utc,region,planned_outages_mw,maintenance_outages_mw,forced_outages_mw,total_outages_mw
2025-07-09 04:00:00+00:00,2025-07-10 04:00:00+00:00,2025-07-03 04:00:00+00:00,Mid Atlantic - Dominion,125,1689,2059,3873
2025-07-09 04:00:00+00:00,2025-07-10 04:00:00+00:00,2025-07-03 04:00:00+00:00,PJM RTO,125,3009,6838,9972
2025-07-09 04:00:00+00:00,2025-07-10 04:00:00+00:00,2025-07-03 04:00:00+00:00,Western,0,1320,4779,6099
2025-07-09 04:00:00+00:00,2025-07-10 04:00:00+00:00,2025-07-04 04:00:00+00:00,Mid Atlantic - Dominion,125,3196,2480,5801
2025-07-09 04:00:00+00:00,2025-07-10 04:00:00+00:00,2025-07-04 04:00:00+00:00,PJM RTO,125,4576,7650,12351
2025-07-09 04:00:00+00:00,2025-07-10 04:00:00+00:00,2025-07-04 04:00:00+00:00,Western,0,1380,5170,6550
2025-07-09 04:00:00+00:00,2025-07-10 04:00:00+00:00,2025-07-05 04:00:00+00:00,Mid Atlantic - Dominion,125,3204,2617,5946
2025-07-09 04:00:00+00:00,2025-07-10 04:00:00+00:00,2025-07-05 04:00:00+00:00,PJM RTO,125,4584,7835,12544
2025-07-09 04:00:00+00:00,2025-07-10 04:00:00+00:00,2025-07-05 04:00:00+00:00,Western,0,1380,5218,6598
2025-07-09 04:00:00+00:00,2025-07-10 04:00:00+00:00,2025-07-06 04:00:00+00:00,Mid Atlantic - Dominion,125,3240,2961,6326
2025-07-09 04:00:00+00:00,2025-07-10 04:00:00+00:00,2025-07-06 04:00:00+00:00,PJM RTO,125,4634,8220,12979
2025-07-09 04:00:00+00:00,2025-07-10 04:00:00+00:00,2025-07-06 04:00:00+00:00,Western,0,1394,5259,6653
2025-07-09 04:00:00+00:00,2025-07-10 04:00:00+00:00,2025-07-07 04:00:00+00:00,Mid Atlantic - Dominion,125,3425,2879,6429
2025-07-09 04:00:00+00:00,2025-07-10 04:00:00+00:00,2025-07-07 04:00:00+00:00,PJM RTO,125,4840,8162,13127
2025-07-09 04:00:00+00:00,2025-07-10 04:00:00+00:00,2025-07-07 04:00:00+00:00,Western,0,1415,5283,6698
2025-07-09 04:00:00+00:00,2025-07-10 04:00:00+00:00,2025-07-08 04:00:00+00:00,Mid Atlantic - Dominion,125,3770,4088,7983
2025-07-09 04:00:00+00:00,2025-07-10 04:00:00+00:00,2025-07-08 04:00:00+00:00,PJM RTO,125,5721,10733,16579
2025-07-09 04:00:00+00:00,2025-07-10 04:00:00+00:00,2025-07-08 04:00:00+00:00,Western,0,1951,6645,8596
2025-07-09 04:00:00+00:00,2025-07-10 04:00:00+00:00,2025-07-09 04:00:00+00:00,Mid Atlantic - Dominion,125,4880,4615,9620
2025-07-09 04:00:00+00:00,2025-07-10 04:00:00+00:00,2025-07-09 04:00:00+00:00,PJM RTO,125,7659,12014,19798
2025-07-09 04:00:00+00:00,2025-07-10 04:00:00+00:00,2025-07-09 04:00:00+00:00,Western,0,2779,7399,10178
2025-07-10 04:00:00+00:00,2025-07-11 04:00:00+00:00,2025-07-04 04:00:00+00:00,Mid Atlantic - Dominion,125,2419,2374,4918
2025-07-10 04:00:00+00:00,2025-07-11 04:00:00+00:00,2025-07-04 04:00:00+00:00,PJM RTO,125,4249,7386,11760
2025-07-10 04:00:00+00:00,2025-07-11 04:00:00+00:00,2025-07-04 04:00:00+00:00,Western,0,1830,5012,6842
2025-07-10 04:00:00+00:00,2025-07-11 04:00:00+00:00,2025-07-05 04:00:00+00:00,Mid Atlantic - Dominion,125,2425,2511,5061
2025-07-10 04:00:00+00:00,2025-07-11 04:00:00+00:00,2025-07-05 04:00:00+00:00,PJM RTO,125,4335,7571,12031
2025-07-10 04:00:00+00:00,2025-07-11 04:00:00+00:00,2025-07-05 04:00:00+00:00,Western,0,1910,5060,6970
2025-07-10 04:00:00+00:00,2025-07-11 04:00:00+00:00,2025-07-06 04:00:00+00:00,Mid Atlantic - Dominion,125,2509,2855,5489
2025-07-10 04:00:00+00:00,2025-07-11 04:00:00+00:00,2025-07-06 04:00:00+00:00,PJM RTO,125,4433,7936,12494
2025-07-10 04:00:00+00:00,2025-07-11 04:00:00+00:00,2025-07-06 04:00:00+00:00,Western,0,1924,5081,7005
